agent1;agent2;agent3;agent4;agent5;agent6;agent7;agent8;agent9;agent10
0,220000;0,220000;0,230000;0,220000;0,320000;0,652033;0,260000;0,713628;0,230000;0,984429
0,230000;0,230000;0,240000;0,230000;0,330000;0,662033;0,270000;0,723628;0,240000;0,994429
0,240000;0,240000;0,250000;0,240000;0,340000;0,672033;0,280000;0,733628;0,250000;1,000000
0,275000;0,275000;0,286000;0,275000;0,385000;0,750237;0,319000;0,817991;0,286000;0,000000
0,285000;0,285000;0,296000;0,285000;0,395000;0,760237;0,329000;0,827991;0,296000;0,010000
0,295000;0,295000;0,306000;0,295000;0,405000;0,770237;0,339000;0,837991;0,306000;0,020000
0,305000;0,305000;0,316000;0,305000;0,415000;0,780237;0,349000;0,847991;0,316000;0,030000
0,315000;0,315000;0,326000;0,315000;0,425000;0,790237;0,359000;0,857991;0,326000;0,040000
0,325000;0,325000;0,336000;0,325000;0,435000;0,800237;0,369000;0,867991;0,336000;0,050000
0,335000;0,335000;0,346000;0,335000;0,445000;0,810237;0,379000;0,877991;0,346000;0,060000
0,345000;0,345000;0,356000;0,345000;0,455000;0,820237;0,389000;0,887991;0,356000;0,070000
0,355000;0,355000;0,366000;0,355000;0,465000;0,830237;0,399000;0,897991;0,366000;0,080000
0,365000;0,365000;0,376000;0,365000;0,475000;0,840237;0,409000;0,907991;0,376000;0,090000
0,375000;0,375000;0,386000;0,375000;0,485000;0,850237;0,419000;0,917990;0,386000;0,100000
0,385000;0,385000;0,396000;0,385000;0,495000;0,860237;0,429000;0,927990;0,396000;0,110000
0,395000;0,395000;0,406000;0,395000;0,505000;0,870237;0,439000;0,937990;0,406000;0,120000
0,405000;0,405000;0,416000;0,405000;0,515000;0,880237;0,449000;0,947990;0,416000;0,130000
0,415000;0,415000;0,426000;0,415000;0,525000;0,890237;0,459000;0,957990;0,426000;0,140000
0,425000;0,425000;0,436000;0,425000;0,535000;0,900237;0,469000;0,967990;0,436000;0,150000
0,435000;0,435000;0,446000;0,435000;0,545000;0,910237;0,479000;0,977990;0,446000;0,160000
0,445000;0,445000;0,456000;0,445000;0,555000;0,920237;0,489000;0,987990;0,456000;0,170000
0,455000;0,455000;0,466000;0,455000;0,565000;0,930237;0,499000;0,997990;0,466000;0,180000
0,465000;0,465000;0,476000;0,465000;0,575000;0,940237;0,509000;1,000000;0,476000;0,190000
0,522500;0,522500;0,534600;0,522500;0,643500;1,000000;0,570900;0,000000;0,533600;0,219000
